,brewery_id,brewery_name,beer_style,beer_name,beer_id,review_overall,City,State,Address
41,1454,Broad Ripple Brew Pub,Märzen / Oktoberfest,Marzen,65568,5.0,Indianapolis,Indiana,840 E 65th St
43,1454,Broad Ripple Brew Pub,American Porter,Jack Daniels Barrel Aged Porter,66857,4.25,Indianapolis,Indiana,840 E 65th St
45,1454,Broad Ripple Brew Pub,Milk / Sweet Stout,Sparky's Chocolate Milk Stout,74998,4.5,Indianapolis,Indiana,840 E 65th St
46,1454,Broad Ripple Brew Pub,English Dark Mild Ale,Red Bird Mild,31838,4.125,Indianapolis,Indiana,840 E 65th St
47,1454,Broad Ripple Brew Pub,Russian Imperial Stout,Broad Ripple Evilsizors Russian Imperial Stout,49038,4.25,Indianapolis,Indiana,840 E 65th St
52,1454,Broad Ripple Brew Pub,American Pale Ale (APA),Amarillo Single Hop Pale Ale,65636,5.0,Indianapolis,Indiana,840 E 65th St
53,1454,Broad Ripple Brew Pub,American Double / Imperial IPA,Hopcicle Double IPA,55445,4.4,Indianapolis,Indiana,840 E 65th St
54,1454,Broad Ripple Brew Pub,Fruit / Vegetable Beer,Apple Chucker,64379,4.5,Indianapolis,Indiana,840 E 65th St
55,1454,Broad Ripple Brew Pub,American Double / Imperial Stout,Ackerman's Imperial Double Stout (Winterfest Replicale 2011),66430,5.0,Indianapolis,Indiana,840 E 65th St
56,1454,Broad Ripple Brew Pub,Kölsch,Kölsch,63470,5.0,Indianapolis,Indiana,840 E 65th St
57,1454,Broad Ripple Brew Pub,American Porter,Porter,9545,4.2,Indianapolis,Indiana,840 E 65th St
58,1454,Broad Ripple Brew Pub,Extra Special / Strong Bitter (ESB),E.S.B.,6824,4.357142857142857,Indianapolis,Indiana,840 E 65th St
60,1454,Broad Ripple Brew Pub,English Bitter,T.J.'s Best Bitter,16491,4.3125,Indianapolis,Indiana,840 E 65th St
61,1454,Broad Ripple Brew Pub,Schwarzbier,Replic Ale (2010),63467,5.0,Indianapolis,Indiana,840 E 65th St
62,1454,Broad Ripple Brew Pub,California Common / Steam Beer,California Common,66856,5.0,Indianapolis,Indiana,840 E 65th St
63,1454,Broad Ripple Brew Pub,Irish Dry Stout,Finneen's Auld Sod Stout,43364,4.5,Indianapolis,Indiana,840 E 65th St
67,1454,Broad Ripple Brew Pub,Euro Dark Lager,Black Heart Lager,43944,4.2,Indianapolis,Indiana,840 E 65th St
68,1454,Broad Ripple Brew Pub,Scotch Ale / Wee Heavy,Wee Alec Heavy,8284,4.142857142857143,Indianapolis,Indiana,840 E 65th St
69,1454,Broad Ripple Brew Pub,English Pale Ale,Lawn Mower Pale Ale,61478,4.75,Indianapolis,Indiana,840 E 65th St
70,1454,Broad Ripple Brew Pub,American Porter,Bjava Porter,73290,4.5,Indianapolis,Indiana,840 E 65th St
71,1454,Broad Ripple Brew Pub,American Pale Ale (APA),Dual Citizenship Ale,39009,4.25,Indianapolis,Indiana,840 E 65th St
73,1454,Broad Ripple Brew Pub,Saison / Farmhouse Ale,Farmhouse Ale,32306,5.0,Indianapolis,Indiana,840 E 65th St
74,1454,Broad Ripple Brew Pub,American Pale Ale (APA),Centennial Pale Ale,75449,5.0,Indianapolis,Indiana,840 E 65th St
75,1454,Broad Ripple Brew Pub,American Pale Ale (APA),Wobbly Bob APA,15660,4.714285714285714,Indianapolis,Indiana,840 E 65th St
76,1454,Broad Ripple Brew Pub,English Barleywine,Broad Ripple Ankle Biter 2004,15478,4.166666666666667,Indianapolis,Indiana,840 E 65th St
78,850,Moon River Brewing Company,American Porter,The Captain's Porter,2780,4.046875,Savannah,Georgia,21 West Bay St.
91,850,Moon River Brewing Company,English Pale Ale,Moon Dance Pale Ale,26562,4.5,Savannah,Georgia,21 West Bay St.
92,850,Moon River Brewing Company,American Pale Ale (APA),Slow-Vannah Pale Ale,41683,4.166666666666667,Savannah,Georgia,21 West Bay St.
105,850,Moon River Brewing Company,American Stout,Galleria Espresso Stout,24057,4.166666666666667,Savannah,Georgia,21 West Bay St.
106,850,Moon River Brewing Company,Rye Beer,Mai-Rye-Bock,24016,4.5,Savannah,Georgia,21 West Bay St.
107,850,Moon River Brewing Company,American Pale Ale (APA),Amarillo On My Mind,63217,4.5,Savannah,Georgia,21 West Bay St.
113,850,Moon River Brewing Company,American Stout,"The Rod ""winter"" Stout",7819,4.5,Savannah,Georgia,21 West Bay St.
116,850,Moon River Brewing Company,Witbier,Houblon Wit,62441,4.25,Savannah,Georgia,21 West Bay St.
119,850,Moon River Brewing Company,American Brown Ale,Gene's American Brown Ale,44081,5.0,Savannah,Georgia,21 West Bay St.
121,14879,Hoppin' Frog Brewery,Russian Imperial Stout,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,47695,4.1367088607594935,Akron,Ohio,1680 E Waterloo Rd
124,14879,Hoppin' Frog Brewery,Russian Imperial Stout,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,33644,4.173860911270984,Akron,Ohio,1680 E Waterloo Rd
129,14879,Hoppin' Frog Brewery,Russian Imperial Stout,D.O.R.I.S. The Destroyer Double Imperial Stout,57110,4.092436974789916,Akron,Ohio,1680 E Waterloo Rd
130,14879,Hoppin' Frog Brewery,English Barleywine,Barrel Aged Naked Evil,72827,4.346938775510204,Akron,Ohio,1680 E Waterloo Rd
134,14879,Hoppin' Frog Brewery,American Pale Ale (APA),Fresh Frog Raw Hop Imperial Pale Ale,53779,4.02,Akron,Ohio,1680 E Waterloo Rd
136,14879,Hoppin' Frog Brewery,American Porter,Imperial American Porter (2010 Beer Week Collaboration With Rocky River),62921,4.05,Akron,Ohio,1680 E Waterloo Rd
137,14879,Hoppin' Frog Brewery,Russian Imperial Stout,B.O.R.I.S. #100,75850,4.1,Akron,Ohio,1680 E Waterloo Rd
140,14879,Hoppin' Frog Brewery,Russian Imperial Stout,BORIS Royale,69461,4.125,Akron,Ohio,1680 E Waterloo Rd
163,1386,Harmon Restaurant & Brewery,American IPA,One Hop Wonder #9 - Columbus,49864,4.166666666666667,Tacoma,Washington,1938 Pacific Avenue
169,1386,Harmon Restaurant & Brewery,Milk / Sweet Stout,Woodrow's Imperial Milk Stout,61745,4.5,Tacoma,Washington,1938 Pacific Avenue
172,1386,Harmon Restaurant & Brewery,American IPA,Emmons 11,76088,4.5,Tacoma,Washington,1938 Pacific Avenue
173,1386,Harmon Restaurant & Brewery,American Stout,Oak Aged Stryker,77002,4.5,Tacoma,Washington,1938 Pacific Avenue
177,1386,Harmon Restaurant & Brewery,American Double / Imperial Stout,Bigwood Oak Aged Stout,64487,5.0,Tacoma,Washington,1938 Pacific Avenue
180,1386,Harmon Restaurant & Brewery,American Porter,Mocha Porter,67724,4.5,Tacoma,Washington,1938 Pacific Avenue
182,1386,Harmon Restaurant & Brewery,American Porter,Porter Porter,47783,4.5,Tacoma,Washington,1938 Pacific Avenue
184,1386,Harmon Restaurant & Brewery,American IPA,One Hop Wonder #10 (Citra),59141,4.166666666666667,Tacoma,Washington,1938 Pacific Avenue
199,1386,Harmon Restaurant & Brewery,Scottish Ale,60 Schilling Scottish Ale,48932,4.5,Tacoma,Washington,1938 Pacific Avenue
200,1386,Harmon Restaurant & Brewery,Russian Imperial Stout,Sasquatch Imperial Stout,21249,4.375,Tacoma,Washington,1938 Pacific Avenue
222,1386,Harmon Restaurant & Brewery,American Double / Imperial IPA,Commencement Bay,66872,4.166666666666667,Tacoma,Washington,1938 Pacific Avenue
223,1386,Harmon Restaurant & Brewery,American IPA,One Hop Wonder Version 12,63598,5.0,Tacoma,Washington,1938 Pacific Avenue
229,1386,Harmon Restaurant & Brewery,Irish Dry Stout,Diamond Peak Dry Stout,56001,4.5,Tacoma,Washington,1938 Pacific Avenue
231,1386,Harmon Restaurant & Brewery,American Pale Ale (APA),Summer Honey Surprise,72817,4.5,Tacoma,Washington,1938 Pacific Avenue
233,1386,Harmon Restaurant & Brewery,American Stout,Stryker,73647,4.1,Tacoma,Washington,1938 Pacific Avenue
272,9020,Yazoo Brewing Company,American Porter,Barrel Aged Sue,63148,4.5,Madison,Tennessee,900 River Bluff Dr
273,9020,Yazoo Brewing Company,Schwarzbier,Black Lager,71757,4.166666666666667,Madison,Tennessee,900 River Bluff Dr
277,9020,Yazoo Brewing Company,American IPA,Hop Project #16,51259,4.333333333333333,Madison,Tennessee,900 River Bluff Dr
278,9020,Yazoo Brewing Company,American IPA,Hop Project #2,38328,4.5,Madison,Tennessee,900 River Bluff Dr
279,9020,Yazoo Brewing Company,American IPA,Hop Project #24,55725,4.25,Madison,Tennessee,900 River Bluff Dr
280,9020,Yazoo Brewing Company,American IPA,Hop Project #10,47788,4.5,Madison,Tennessee,900 River Bluff Dr
284,9020,Yazoo Brewing Company,American IPA,Hop Project #22,53955,4.166666666666667,Madison,Tennessee,900 River Bluff Dr
288,9020,Yazoo Brewing Company,American IPA,Hop Project #5,40880,4.5,Madison,Tennessee,900 River Bluff Dr
289,9020,Yazoo Brewing Company,American Amber / Red Ale,Firefly Ale,48805,4.25,Madison,Tennessee,900 River Bluff Dr
290,9020,Yazoo Brewing Company,Belgian Dark Ale,Ken's Belgian Amber,44224,4.25,Madison,Tennessee,900 River Bluff Dr
292,9020,Yazoo Brewing Company,American IPA,Hop Project #21,53918,4.625,Madison,Tennessee,900 River Bluff Dr
293,9020,Yazoo Brewing Company,American IPA,Hop Project #42,65423,4.375,Madison,Tennessee,900 River Bluff Dr
295,9020,Yazoo Brewing Company,Dunkelweizen,Dunkel Weizen,20574,4.5,Madison,Tennessee,900 River Bluff Dr
296,9020,Yazoo Brewing Company,American IPA,Hop Project #25,55603,4.071428571428571,Madison,Tennessee,900 River Bluff Dr
301,9020,Yazoo Brewing Company,English Dark Mild Ale,Quinn's Marathon Mild,27362,5.0,Madison,Tennessee,900 River Bluff Dr
313,9020,Yazoo Brewing Company,American IPA,Hop Project #53,70895,4.125,Madison,Tennessee,900 River Bluff Dr
314,9020,Yazoo Brewing Company,Winter Warmer,Wassail,46719,4.5,Madison,Tennessee,900 River Bluff Dr
315,9020,Yazoo Brewing Company,American IPA,Hop Project #14,49428,4.125,Madison,Tennessee,900 River Bluff Dr
316,9020,Yazoo Brewing Company,American Porter,Sue,51483,4.130597014925373,Madison,Tennessee,900 River Bluff Dr
319,9020,Yazoo Brewing Company,American IPA,Hop Project #19,51877,4.222222222222222,Madison,Tennessee,900 River Bluff Dr
320,9020,Yazoo Brewing Company,American Pale Ale (APA),Fresh Hop Ale,45888,4.25,Madison,Tennessee,900 River Bluff Dr
325,9020,Yazoo Brewing Company,American IPA,Hop Project #11,48336,4.5,Madison,Tennessee,900 River Bluff Dr
326,9020,Yazoo Brewing Company,American IPA,Hop Project #9,46571,4.75,Madison,Tennessee,900 River Bluff Dr
328,9020,Yazoo Brewing Company,American IPA,Hop Project #13,49067,4.357142857142857,Madison,Tennessee,900 River Bluff Dr
330,9020,Yazoo Brewing Company,American IPA,Hop Project #12,48621,4.083333333333333,Madison,Tennessee,900 River Bluff Dr
333,9020,Yazoo Brewing Company,American IPA,Hop Project #6,42459,4.75,Madison,Tennessee,900 River Bluff Dr
338,20658,7 Seas Brewery and Taproom,Foreign / Export Stout,Barrel Aged Port Royal Stout W/ Vanilla Beans,58128,4.5,Gig Harbor,Washington,3006 Judson St
349,15636,Calapooia Brewing Company,American Porter,'Pooya Porter,36037,4.25,Albany,Oregon,140 Hill St. NE
353,15636,Calapooia Brewing Company,American IPA,Yankee Clipper IPA,38212,4.5,Albany,Oregon,140 Hill St. NE
354,15636,Calapooia Brewing Company,American Amber / Red Ale,Flood Stage Red,36038,4.5,Albany,Oregon,140 Hill St. NE
355,15636,Calapooia Brewing Company,American IPA,Simcoe Springs IPA,38951,4.25,Albany,Oregon,140 Hill St. NE
357,15636,Calapooia Brewing Company,Rye Beer,Fresh Hop Rye,40248,4.5,Albany,Oregon,140 Hill St. NE
359,15636,Calapooia Brewing Company,American Pale Ale (APA),Big Aft Pale Ale,36036,4.25,Albany,Oregon,140 Hill St. NE
360,15636,Calapooia Brewing Company,Extra Special / Strong Bitter (ESB),BourbonDog ESB,40448,5.0,Albany,Oregon,140 Hill St. NE
361,15636,Calapooia Brewing Company,Russian Imperial Stout,Undertow,40537,4.5,Albany,Oregon,140 Hill St. NE
363,15636,Calapooia Brewing Company,Extra Special / Strong Bitter (ESB),Riverdog ESB,35881,4.166666666666667,Albany,Oregon,140 Hill St. NE
364,15636,Calapooia Brewing Company,American Barleywine,Calapooia Barleywine,36039,5.0,Albany,Oregon,140 Hill St. NE
367,15636,Calapooia Brewing Company,Chile Beer,Chili Beer,41788,4.166666666666667,Albany,Oregon,140 Hill St. NE
370,11715,Destiny Brewing Company,Pumpkin Ale,Pumpkin Ale,26817,4.5,Phoenixville,Pennsylvania,119 South Main Street
373,11715,Destiny Brewing Company,Rye Beer,Red Rye Ale,26419,4.5,Phoenixville,Pennsylvania,119 South Main Street
374,11715,Destiny Brewing Company,American Pale Wheat Ale,Wheat Ale,26418,4.5,Phoenixville,Pennsylvania,119 South Main Street
379,1199,Founders Brewing Company,Rye Beer,Founders Red's Rye PA,16074,4.208540925266904,Grand Rapids,Michigan,235 Grandville Ave SW
380,1199,Founders Brewing Company,American Double / Imperial Stout,Founders Breakfast Stout,11757,4.354516386890488,Grand Rapids,Michigan,235 Grandville Ave SW
382,1199,Founders Brewing Company,American Double / Imperial IPA,Founders Double Trouble,34146,4.096649484536083,Grand Rapids,Michigan,235 Grandville Ave SW
383,1199,Founders Brewing Company,Rye Beer,Founders Crystal Rye Persuasion,44914,4.2,Grand Rapids,Michigan,235 Grandville Ave SW
385,1199,Founders Brewing Company,American IPA,Founders Centennial IPA,5441,4.146236559139785,Grand Rapids,Michigan,235 Grandville Ave SW
387,1199,Founders Brewing Company,American Double / Imperial Stout,Founders CBS Imperial Stout,47658,4.59105180533752,Grand Rapids,Michigan,235 Grandville Ave SW
388,1199,Founders Brewing Company,American Stout,Founders Grand Rapids Stout,73062,4.3,Grand Rapids,Michigan,235 Grandville Ave SW
389,1199,Founders Brewing Company,American Porter,Founders Cherry Porter,57642,4.25,Grand Rapids,Michigan,235 Grandville Ave SW
390,1199,Founders Brewing Company,American IPA,Founders All Day IPA,58914,4.1,Grand Rapids,Michigan,235 Grandville Ave SW
395,1199,Founders Brewing Company,American Brown Ale,Founders Cashew Mountain Brown,69894,4.391304347826087,Grand Rapids,Michigan,235 Grandville Ave SW
402,1199,Founders Brewing Company,Russian Imperial Stout,Founders Imperial Stout,21822,4.185992578849722,Grand Rapids,Michigan,235 Grandville Ave SW
403,1199,Founders Brewing Company,American Blonde Ale,Founders Extra Pale Ale,26393,4.083333333333333,Grand Rapids,Michigan,235 Grandville Ave SW
405,1199,Founders Brewing Company,American IPA,Founders Harvest Ale,20478,4.207715133531157,Grand Rapids,Michigan,235 Grandville Ave SW
406,1199,Founders Brewing Company,American Pale Lager,Founders Super Gold,53497,4.375,Grand Rapids,Michigan,235 Grandville Ave SW
408,1199,Founders Brewing Company,American Stout,Founders Frangelic Stout,21753,4.15,Grand Rapids,Michigan,235 Grandville Ave SW
411,1199,Founders Brewing Company,American Pale Wheat Ale,Founders Dumbo Head Wheat Beer,42939,4.3,Grand Rapids,Michigan,235 Grandville Ave SW
412,1199,Founders Brewing Company,Rye Beer,Founders Black Rye,16115,4.0574324324324325,Grand Rapids,Michigan,235 Grandville Ave SW
413,1199,Founders Brewing Company,Belgian Strong Pale Ale,Founders Blushing Monk,25852,4.093052109181142,Grand Rapids,Michigan,235 Grandville Ave SW
419,1199,Founders Brewing Company,American Stout,Founders Nutty Professor Nut Stout,20480,5.0,Grand Rapids,Michigan,235 Grandville Ave SW
422,1199,Founders Brewing Company,American Double / Imperial Stout,Founders KBS (Kentucky Breakfast Stout),19960,4.39751552795031,Grand Rapids,Michigan,235 Grandville Ave SW
424,1199,Founders Brewing Company,American Porter,Founders Nitro Expresso Porter,46317,4.285714285714286,Grand Rapids,Michigan,235 Grandville Ave SW
427,1199,Founders Brewing Company,American Black Ale,Founders Session Noir,67533,4.2,Grand Rapids,Michigan,235 Grandville Ave SW
428,1199,Founders Brewing Company,Dunkelweizen,Founders Black Sunshine,30248,4.375,Grand Rapids,Michigan,235 Grandville Ave SW
434,1199,Founders Brewing Company,American Porter,Founders Barrel-Aged Porter,41816,4.416666666666667,Grand Rapids,Michigan,235 Grandville Ave SW
435,1199,Founders Brewing Company,American IPA,Founders South Island IPA,57024,4.25,Grand Rapids,Michigan,235 Grandville Ave SW
437,1199,Founders Brewing Company,American IPA,Founders Hop Spit Punk Rock IPA,62868,4.5,Grand Rapids,Michigan,235 Grandville Ave SW
446,1199,Founders Brewing Company,American Double / Imperial IPA,Founders 10K IPA,70795,4.2727272727272725,Grand Rapids,Michigan,235 Grandville Ave SW
448,1199,Founders Brewing Company,Fruit / Vegetable Beer,Founders Razz Pale Ale,22658,4.25,Grand Rapids,Michigan,235 Grandville Ave SW
450,1199,Founders Brewing Company,Rye Beer,Founders Barrel Aged Red's Rye,49076,4.066666666666666,Grand Rapids,Michigan,235 Grandville Ave SW
453,1199,Founders Brewing Company,American Strong Ale,Founders Sumatra Mountain Brown,64550,4.1,Grand Rapids,Michigan,235 Grandville Ave SW
458,1199,Founders Brewing Company,American IPA,Founders MPG IPA (Nitro),58916,4.666666666666667,Grand Rapids,Michigan,235 Grandville Ave SW
459,1199,Founders Brewing Company,American Black Ale,Founders Bourbon Del Noche,68432,4.2,Grand Rapids,Michigan,235 Grandville Ave SW
460,1199,Founders Brewing Company,Fruit / Vegetable Beer,Founders Paisley Park Pomegranate,49452,4.166666666666667,Grand Rapids,Michigan,235 Grandville Ave SW
462,1199,Founders Brewing Company,Extra Special / Strong Bitter (ESB),Founders Empire Strikes Bitter,55702,4.25,Grand Rapids,Michigan,235 Grandville Ave SW
463,1199,Founders Brewing Company,Braggot,Founders Braggot,36776,4.25,Grand Rapids,Michigan,235 Grandville Ave SW
464,1199,Founders Brewing Company,American Double / Imperial IPA,Founders Imperial IPA,12181,4.5,Grand Rapids,Michigan,235 Grandville Ave SW
465,1199,Founders Brewing Company,American Double / Imperial IPA,Founders All Night Long DIPA,39618,4.25,Grand Rapids,Michigan,235 Grandville Ave SW
469,1199,Founders Brewing Company,American Double / Imperial Stout,Founders Barrel Aged Imperial Stout,49237,4.293103448275862,Grand Rapids,Michigan,235 Grandville Ave SW
471,1199,Founders Brewing Company,Wheatwine,Founders Death,57640,4.15,Grand Rapids,Michigan,235 Grandville Ave SW
475,1199,Founders Brewing Company,American Black Ale,Founders Syrup Del Noche,68430,4.583333333333333,Grand Rapids,Michigan,235 Grandville Ave SW
476,1199,Founders Brewing Company,American Porter,Founders Rye Whisky Aged Porter,51710,4.285714285714286,Grand Rapids,Michigan,235 Grandville Ave SW
481,1199,Founders Brewing Company,Rye Beer,Founders Foreign Spy Rye,65932,4.375,Grand Rapids,Michigan,235 Grandville Ave SW
490,1199,Founders Brewing Company,Old Ale,Founders Kaiser Curmudgeon,59966,4.052631578947368,Grand Rapids,Michigan,235 Grandville Ave SW
492,1199,Founders Brewing Company,American Amber / Red Ale,Founders Crimson Dynamo,66976,4.5,Grand Rapids,Michigan,235 Grandville Ave SW
493,1199,Founders Brewing Company,Rye Beer,Founders Honey Rye,21751,4.5,Grand Rapids,Michigan,235 Grandville Ave SW
497,1199,Founders Brewing Company,American IPA,Founders Sweet Darkness,50813,4.166666666666667,Grand Rapids,Michigan,235 Grandville Ave SW
499,1199,Founders Brewing Company,Old Ale,Founders Black Biscuit,54827,4.268211920529802,Grand Rapids,Michigan,235 Grandville Ave SW
500,1199,Founders Brewing Company,American Black Ale,Founders Berserker 37,72317,4.071428571428571,Grand Rapids,Michigan,235 Grandville Ave SW
501,1199,Founders Brewing Company,American Double / Imperial IPA,Founders SZRP Of Doom,58272,4.111111111111111,Grand Rapids,Michigan,235 Grandville Ave SW
502,1199,Founders Brewing Company,American Porter,Founders Porter,7348,4.215555555555556,Grand Rapids,Michigan,235 Grandville Ave SW
505,1199,Founders Brewing Company,American Porter,Founders Bourbon Maple Porter,36522,4.25,Grand Rapids,Michigan,235 Grandville Ave SW
507,1199,Founders Brewing Company,Oatmeal Stout,Founders Oatmeal Stout,16079,4.083333333333333,Grand Rapids,Michigan,235 Grandville Ave SW
510,1199,Founders Brewing Company,American Porter,Founders Frangelic Porter,76696,4.625,Grand Rapids,Michigan,235 Grandville Ave SW
512,1199,Founders Brewing Company,Fruit / Vegetable Beer,Founders Ambrosia Tart,40484,4.75,Grand Rapids,Michigan,235 Grandville Ave SW
513,1199,Founders Brewing Company,Rye Beer,Founders Charred Red's Rye,38213,4.5,Grand Rapids,Michigan,235 Grandville Ave SW
516,1199,Founders Brewing Company,American Porter,Founders Chocolate Rye Porter,17070,4.666666666666667,Grand Rapids,Michigan,235 Grandville Ave SW
518,1199,Founders Brewing Company,American Amber / Red Ale,Founders Red Eye Amber Ale,8679,4.277777777777778,Grand Rapids,Michigan,235 Grandville Ave SW
519,1199,Founders Brewing Company,English Bitter,Founders Trois,25011,4.25,Grand Rapids,Michigan,235 Grandville Ave SW
521,1199,Founders Brewing Company,Rye Beer,Founders Double Dry Hopped Reds Rye,57143,4.4,Grand Rapids,Michigan,235 Grandville Ave SW
522,1199,Founders Brewing Company,American Double / Imperial Stout,Founders Imperial Breakfast Stout,26964,4.5,Grand Rapids,Michigan,235 Grandville Ave SW
538,24162,Finger Lakes Beer Company,American Amber / Red Ale,Copper Ale,64842,4.5,Hammondsport,New York,8462 State Route 54
539,24162,Finger Lakes Beer Company,Scottish Ale,Scotch Ale,64841,4.5,Hammondsport,New York,8462 State Route 54
547,21841,Craggie Brewing Company,Flanders Red Ale,Belgian Red With Brettanomyces Yeast,62718,4.5,Asheville,North Carolina,197 Hilliard Avenue
551,21841,Craggie Brewing Company,Keller Bier / Zwickel Bier,Swannanoa Sunset,56980,4.25,Asheville,North Carolina,197 Hilliard Avenue
552,21841,Craggie Brewing Company,Keller Bier / Zwickel Bier,Toubab Brewe,57668,4.125,Asheville,North Carolina,197 Hilliard Avenue
561,21841,Craggie Brewing Company,Doppelbock,Germinator Doppelbock,62717,4.166666666666667,Asheville,North Carolina,197 Hilliard Avenue
567,26990,NoDa Brewing Company,American Amber / Red Ale,Ramble On Red,74676,4.166666666666667,Charlotte,North Carolina,2229 North Davidson St.
568,26990,NoDa Brewing Company,American Double / Imperial IPA,NoDa Rye Z'd,74683,4.125,Charlotte,North Carolina,2229 North Davidson St.
570,26990,NoDa Brewing Company,American Porter,Coco Loco,74675,4.166666666666667,Charlotte,North Carolina,2229 North Davidson St.
571,26990,NoDa Brewing Company,American IPA,"Hop, Drop ‘n Roll",75898,4.75,Charlotte,North Carolina,2229 North Davidson St.
586,16859,Great South Bay Brewery,American Blonde Ale,Blonde Ambition,61800,4.090909090909091,Bay Shore,New York,25 Drexel DR
601,2188,Third Base Sports Bar & Brewery,Schwarzbier,Black Night Black Lager,32084,4.5,Cedar Rapids,Iowa,500 Blairs Ferry Rd NE
610,2188,Third Base Sports Bar & Brewery,Oatmeal Stout,Quaker Oatmeal Stout,28271,5.0,Cedar Rapids,Iowa,500 Blairs Ferry Rd NE
621,365,Pike Pub & Brewery,American Stout,Pike Street XXXXX Stout,966,4.028735632183908,Seattle,Washington,1415 First Ave
623,365,Pike Pub & Brewery,English Brown Ale,Pike Old 89 Nitro Brown,5083,5.0,Seattle,Washington,1415 First Ave
627,365,Pike Pub & Brewery,American Brown Ale,Imperial Brown Ale,25103,4.333333333333333,Seattle,Washington,1415 First Ave
635,365,Pike Pub & Brewery,American IPA,Auld Acquaintance IPA,24989,4.083333333333333,Seattle,Washington,1415 First Ave
642,365,Pike Pub & Brewery,American Double / Imperial IPA,Double Dry Hop Double,62223,4.5,Seattle,Washington,1415 First Ave
648,16994,Ohio Brewing Company,American Strong Ale,Twice Bitten,46683,4.25,Akron,Ohio,222 S Main St.
650,16994,Ohio Brewing Company,Kölsch,Verich Gold,46255,4.25,Akron,Ohio,222 S Main St.
663,971,Crescent City Brewhouse,Czech Pilsener,Double Pilsner,66692,4.5,New Orleans,Louisiana,527 Decatur St
673,14,Cambridge Brewing Company,American IPA,Flower Child IPA,62529,4.071428571428571,Cambridge,Massachusetts,1 Kendall Sq
676,14,Cambridge Brewing Company,Baltic Porter,Bourbon Barrel Aged Porter,8575,4.333333333333333,Cambridge,Massachusetts,1 Kendall Sq
677,14,Cambridge Brewing Company,Flanders Oud Bruin,Resolution #9,67360,4.1,Cambridge,Massachusetts,1 Kendall Sq
679,14,Cambridge Brewing Company,Belgian Strong Dark Ale,Off-(trap)Piste Belgian-Style Grand Cru,15550,4.25,Cambridge,Massachusetts,1 Kendall Sq
681,14,Cambridge Brewing Company,Kölsch,Pröjekt H50 Kölsch,23669,4.5,Cambridge,Massachusetts,1 Kendall Sq
682,14,Cambridge Brewing Company,Belgian Pale Ale,Never Mind The Bollekes!,47569,4.5,Cambridge,Massachusetts,1 Kendall Sq
683,14,Cambridge Brewing Company,American IPA,Late Harvest IPA,26930,4.2,Cambridge,Massachusetts,1 Kendall Sq
685,14,Cambridge Brewing Company,English Pale Mild Ale,Aestas Ale,32134,4.625,Cambridge,Massachusetts,1 Kendall Sq
686,14,Cambridge Brewing Company,American Wild Ale,Benevolence,10001,4.14,Cambridge,Massachusetts,1 Kendall Sq
687,14,Cambridge Brewing Company,Smoked Beer,Imperial Skibsøl,50520,4.125,Cambridge,Massachusetts,1 Kendall Sq
688,14,Cambridge Brewing Company,Hefeweizen,Hefeweizen,507,4.242857142857143,Cambridge,Massachusetts,1 Kendall Sq
